oj 哀,埃
meng 冥,銘,溟,鄍
mjieng 名
mjaengH 命
mjiwH 繆,謬
ma 磨
mu 謨,模
maH 磨,塺
maek 貉,貊,陌
mak 莫,幕
mat 末,沫
mok 墨,默
mwot 沒,歿,没,歾,𠬛
muwX 母,某,畝,牡,姆,畮
mju 無,毋,无,巫,誣,蕪,譕
mjuwk 目,牧,穆,繆,睦,𡍬
muH 慕,墓,暮,募
muwk 木
nrae 挐,拏
nop 內,納,内
nojX 乃,迺,廼,ㄋ
najH 奈,柰
nojH 能,耐,鼐
nan 難
nom 南,男
nraenX 戁
nanH 難
nang 囊
nangX 曩
naw 夒,猱,獶
nraew 鐃
nraewX 撓
nraewH 橈,淖,鬧
nawX 腦,惱
nreak 眲
nwot 訥,㕯
nywet 爇,焫,吶
nwojX 餒
nwojH 內,内
noj 能
nong 能
nej 泥,臡
nejH 尼,泥
ngej 倪,輗
ngiX 擬
nrijX 柅
nrijH 柅,膩
nek 溺
ngjaek 逆,屰
nrik 匿
nrit 暱,昵,䵑,䵒
nen 年
ljenX 輦,璉
nrjenX 蹍
nemH 念
tewX 鳥
newH 溺,尿
nget 齧,闑,槷
ngjet 讞,櫱,闑,孼
nrjep 聶,躡,踂
neng 寧,甯,寜
nging 凝
nengH 寧,佞,甯
ngjuw 牛
nrjuwX 紐,狃
nowng 農,膿
nrjowng 濃
luwngH 弄
nuwH 耨,槈
nu 奴
nuX 怒,弩
nuH 怒
na 那,儺
naX 儺
nak 諾
nrjoX 女,籹
nrjoH 女
ngjak 虐
uw 區,樞,甌
uwX 嘔
nguwX 偶,耦,藕
bae 爬,耙
phaek 霸,魄,拍
bea 簰
beaj 排
phaen 攀,拚,𡴂
ba 蟠,鄱,皤,婆
ban 盤,潘,蟠
banH 畔
